timestamp,publicURL,consensusStatus,speciesConsensus,aiResults,videoUrl
2024-01-29 12:55:11,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0184.JPG,MoreAnnotationsNeeded,"[{'scientificName': 'Branta canadensis'}, {'scientificName': 'Anas platyrhynchos'}]",[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-30_prologis_02/DCIM/100MEDIA/SYFW0185.MP4
2024-01-31 08:47:57,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0289.JPG,MoreAnnotationsNeeded,"[{'scientificName': 'Ondatra zibethicus'}, {'scientificName': 'Castor canadensis'}, {'scientificName': 'Mammalia'}]",[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0290.MP4
2024-01-29 13:02:47,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0143.JPG,Pending,[{'scientificName': 'Branta canadensis'}],[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0144.MP4
2024-01-29 13:36:44,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0147.JPG,Pending,"[{'scientificName': 'Canis familiaris'}, {'scientificName': 'Canis'}]",[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0148.MP4
2024-01-31 08:49:02,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0291.JPG,ConsensusReached,"[{'scientificName': 'Ondatra zibethicus'}, {'scientificName': 'Castor canadensis'}]",[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-01-31_LearningPlatformBeaver/DCIM/100MEDIA/SYFW0292.MP4
2024-01-13 04:54:07,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1292.JPG,Pending,[{'scientificName': 'Anas platyrhynchos'}],[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1293.MP4
2024-01-13 08:40:39,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1324.JPG,Pending,[{'scientificName': 'Spizella passerina'}],[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1325.MP4
2024-01-13 04:53:58,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1290.JPG,Pending,[{'scientificName': 'Anas platyrhynchos'}],[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1293.MP4
2024-01-13 04:54:03,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1291.JPG,Pending,[{'scientificName': 'Anas platyrhynchos'}],[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1293.MP4
2024-01-13 05:02:01,https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1296.JPG,Pending,[{'scientificName': 'Anas platyrhynchos'}],[{'confHuman': 0.0}],https://urbanriverrangers.s3.amazonaws.com/images/2024/2024-02-01_16-41-42/DCIM/100SYCAM/SYEW1297.MP4
